Legislation Name,Congress ,Month-Day H,Month-Day S,Year,Bill,Vote # H,Vote # S,Description/Notes,Supports Free Trade,House,Passed or Failed,Dem Yeas-Nays,Rep Yeas-Nays,Minority Party H,Bipartisanship Score (H),% of Dem vote Free Trade,% of Rep vote Free Trade,Senate,Passed or Failed,Dem Yeas-Nays,Rep Yeas-Nays,Minority Party S,Bipartisanship Score (S),% of Dem vote Free Trade,% of Rep vote Free Trade,Source,voteview link,Notes
The Trade and Tariff Act of 1984,98,10-9,9-20,1984,H.R. 3398,454,245,"expanded the President’s authority to negotiate trade agreements, and made numerous tariff and customs changes to promote freer and fairer international trade.",TRUE,386-1 ,Passed,243-0,103-1,Rebulican,0.990,1.000,0.990,96-0 ,Passed,44-0,52-0,Democrat,1,1,1," https://www.congress.gov/bill/98th-congress/house-bill/3398 , 10-9: https://voteview.com/rollcall/RH0980897  6-8: https://voteview.com/rollcall/RH0980214  , https://voteview.com/rollcall/RS0980616 ",,
U.S. Israel FTA,99,5-7,,1985,H.R. 2268,89,,FTA Implementation Act,TRUE,422-0,Passed,267-0,155-0,Rebulican,1,1,1,,,,,Democrat,,,,https://voteview.com/rollcall/RH0990089,https://voteview.com/rollcall/RH0990089,
Omnibus Trade and Competitiveness Act of 1988,100,7-13,8-3,1988,H.R. 4848,712,708,reformed procedures to address unfair foreign trade practices and strengthen U.S. industrial competitiveness.,EITHER,376-45,Passed,256-4,120-41,Rebulican,0.745,,,85-11 ,Passed,49-1,35-10,Republican,0.7777777778,,,"https://voteview.com/rollcall/RH1000712, https://voteview.com/rollcall/RS1000708 ","https://voteview.com/rollcall/RH1000712, https://voteview.com/rollcall/RS1000708 ",
FTA Canada,100,8-9,9-19,1988,H.R. 5090,747,752,FTA Implementation Act,TRUE,366-40 ,Passed,215-30,154-10,Rebulican,0.939,0.876,0.939,83-9 ,Passed,45-7,42-2,Republican,0.9545454545,0.86,0.95,"https://voteview.com/rollcall/RH1000747, https://voteview.com/rollcall/RS1000752 ","https://voteview.com/rollcall/RH1000747, https://voteview.com/rollcall/RS1000752 ",
Resolution concerning US objectives of future trade agreements,102,5-23,N/A,1991,H. Res. 146,116,N/A,,,329-85,Passed,173-80,156-4,Rebulican,0.975,,,N/A,N/A,,,Republican,,,,https://www.congress.gov/bill/102nd-congress/house-resolution/146?q=%7B%22search%22%3A%22H.+Res.+146%22%7D&s=8&r=1,https://voteview.com/rollcall/RH1020112,
"Resolution disapproving the extension of fast-track procedures to implement trade agreements entered into after May 31, 1991, and by May 31, 1993.",102,5-23,N/A,1991,H. Res. 101,115,N/A,,FALSE,192-231 ,Failed,170-91,21-140,Republican,0.870,0.347,0.870,N/A,N/A,,,Republican,,,,https://www.congress.gov/bill/102nd-congress/house-resolution/101?q=%7B%22search%22%3A%22H.+Res.+101%22%7D&s=4&r=1,https://voteview.com/rollcall/RH1020111 ,
Resolution disapproving a two-year extension of fasttrack procedures under the Omnibus Trade and Competitiveness Act of 1988.,102,N/A,5-34,1991,S. Res. 78,N/A,86,,FALSE,N/A,N/A,,,Republican,,,,36-59 ,Failed,31-29,4-30,Republican,0.8823529412,0.48,0.88,https://www.congress.gov/bill/102nd-congress/senate-resolution/78?q=%7B%22search%22%3A%22S.+Res.+78%22%7D&s=6&r=1,https://voteview.com/rollcall/RS1020086,
"To extend fast-track
procedures for Uruguay
Round trade
agreements",103,6-22,6-30,1993,H.R. 1876,247,192,,TRUE,295-126,Passed,145-103,150-23,Republican,0.867,0.585,0.867,76-16,Passed,,,Republican,,,, https://www.congress.gov/bill/103rd-congress/house-bill/1876," https://voteview.com/rollcall/RH1030237 , https://voteview.com/rollcall/RS1030192 ",
NAFTA,103,11-17,11-20,1993,H.R. 3450,575,395,FTA Implementation Act,TRUE,234-200,Passed,102-156,132-43,Republican,0.754,0.395,0.754,61-38 ,Passed,27-28,34-10,Republican,0.7727272727,0.49,0.77,https://www.congress.gov/bill/103rd-congress/house-bill/3450?q=%7B%22search%22%3A%22H.R.+3450%22%7D&s=3&r=1,"https://voteview.com/rollcall/RH1030558 , https://voteview.com/rollcall/RS1030395 ",
WTO Implementation Act,103,11-29,12-1,1994,H.R. 5110,507,329,"Uruguay Round Agreements Act (Implementation
act for WTO agreements).",,288-146 ,Passed,167-89,121-56,Republican,0.684,,,76-24 ,Passed,41-14,35-10,Republican,0.7777777778,,,https://www.congress.gov/bill/103rd-congress/house-bill/5110/all-actions?overview=closed&q=%7B%22roll-call-vote%22%3A%22all%22%7D,"https://voteview.com/rollcall/RH1031094 , https://voteview.com/rollcall/RS1030724",
Reciprocal Trade Agreement Authorities Act of 1997,105,9-25,,1998,H.R. 2621,466,N/A,Measure attempted to renew TPA. Measure failed. TPA lapsed between 1994 and 2002.,TRUE,180-243 ,Failed,29-171,151-71,Democrat,0.855,0.145,0.68,N/A,N/A,,,Democrat,,,,https://www.congress.gov/bill/105th-congress/house-bill/2621?q=%7B%22search%22%3A%22H.R.+2621%22%7D&s=8&r=1,https://voteview.com/rollcall/RH1051086,
Consideration of Proposed Withdrawal from WTO,106,6-21,N/A,2000,H. Res. 528,298,N/A,Providing for consideration of the joint resolution (H.J.Res. 90) withdrawing the approval of the United States from the Agreement establishing the WTO.,FALSE,343-61 ,Passed,137-58,205-2,Democrat,0.703,0.297,0.010,,N/A,,,Democrat,,,,https://www.congress.gov/bill/106th-congress/house-resolution/528?q=%7B%22search%22%3A%22H.+Res.+528%22%7D&s=1&r=1,https://voteview.com/rollcall/RH1060904,
Proposed Withdrawal from WTO,106,6-21,N/A,2000,H.Res. 90,310,N/A,Withdrawing the approval of the United States from the Agreement establishing the WTO.,FALSE,56-363 ,Failed,21-181,33-102,Democrat,0.896,0.896,0.756,,N/A,,,Democrat,,,,https://www.congress.gov/bill/106th-congress/house-joint-resolution/90?q=%7B%22search%22%3A%22H.J.+Res.+90%22%7D&s=4&r=1,,
Bipartisan Trade Promotion Authority Act of 2002,107,12-6,N/A,2001,H.R. 3005,481,N/A,,TRUE,215-214 ,Passed,21-189,194-23,Democrat,0.1,0.1,0.894,N/A,N/A,,,Democrat,,,,https://www.congress.gov/bill/107th-congress/house-bill/3005?q=%7B%22search%22%3A%22H.R.+3005%22%7D&s=2&r=1,https://voteview.com/rollcall/RH1070476,
H. Res. 450 Relating to consideration of H.R. 3009,107,6-26,N/A,2002,H. Res. 450,264,N/A,,,216-215,Agreed,11-199,205-14,Democrat,0.0524,,,N/A,N/A,,,Republican,,,,https://www.congress.gov/bill/107th-congress/house-resolution/450?q=%7B%22search%22%3A%22H.+Res.+450%22%7D&s=6&r=1,https://voteview.com/rollcall/RH1070770,
The Trade Act of 2002,107,7-27,8-1,2002,H.R. 3009,370,207,"covering trade adjustment assistance (TAA), trade promotion authority (fast-track procedures), Andean trade preferences, and other trade provisions.",,215-212,Passed,25-183,190-27,Democrat,0.120,,,64-34 ,Passed,20-30,43-4,Republican,0.914893617,,,https://www.congress.gov/bill/107th-congress/house-bill/3009?q=%7B%22search%22%3A%22H.R.+3009%22%7D&s=5&r=1,https://voteview.com/rollcall/RH1070876 https://voteview.com/rollcall/RS1070587 ,
FTA Singapore,108,7-24,7-31,2003,H.R. 2739,432,318,FTA Implementation Act,TRUE,273-155,Passed,75-127,198-27,Democrat,0.371,0.371,0.880,67-32,Passed,22-24,45-27,Democrat,0.4782608696,0.47,0.625,https://www.congress.gov/bill/108th-congress/house-bill/2739?q=%7B%22search%22%3A%22H.R.+2739%22%7D&s=6&r=1,"https://voteview.com/rollcall/RH1080430, https://voteview.com/rollcall/RS1080318 ",
FTA Chile,108,7-24,7-31,2003,H.R. 2738,436,319,FTA Implementation Act,TRUE,271-156 ,Passed,75-128,196-27,Democrat,0.369,0.369,0.879,66-32,Passed,22-24,44-7,Democrat,0.4782608696,0.47,0.86,https://www.congress.gov/bill/108th-congress/house-bill/2738?q=%7B%22search%22%3A%22H.R.+2738%22%7D&s=8&r=1,"https://voteview.com/rollcall/RH1080434, https://voteview.com/rollcall/RS1080319 ",
FTA Australia,108,7-14,7-15,2004,H.R. 4759,375,156,FTA Implementation Act,TRUE,315-109 ,Passed,116-84,199-24,Democrat,0.464,0.58,0.892,81-16,Passed,31-14,49-2,Democrat,0.6888888889,0.68,0.96,https://www.congress.gov/bill/108th-congress/house-bill/4759?q=%7B%22search%22%3A%22H.R.+4759%22%7D&s=10&r=1,"https://voteview.com/rollcall/RH1081049 , https://voteview.com/rollcall/RS1080615 ",
FTA Morocco,108,N/A,7-21,2004,S. 2677,N/A,159,FTA Implementation Act,TRUE,N/A,N/A,,,Democrat,,,,86-13,Passed,38-8,47-5,Democrat,0.8260869565,0.82,0.9,https://www.congress.gov/bill/108th-congress/senate-bill/2677?q=%7B%22search%22%3A%22S.+2677%22%7D&s=3&r=1,https://voteview.com/rollcall/RS1080618,
FTA Morocco,108,7-22,N/A,2004,H.R. 4842,413,N/A,FTA Implementation Act,TRUE,324-99,Passed,120-80,204-18,Democrat,0.6,0.6,0.919,,Unanimous Consent,,,Democrat,,,,https://www.congress.gov/bill/108th-congress/house-bill/4842?q=%7B%22search%22%3A%22H.R.+4842%22%7D&s=5&r=1,https://voteview.com/rollcall/RH1081087,
CAFTA-DR,109,N/A,6-30,2005,S. 1307,N/A,170,FTA Implementation Act,TRUE,N/A,N/A,,,Democrat,,,,55-45,Passed,10-33,44-12,Democrat,0.2325581395,0.23,0.78,https://www.congress.gov/bill/109th-congress/senate-bill/1307?q=%7B%22search%22%3A%22S.+1307%22%7D&s=7&r=1,https://voteview.com/rollcall/RS1090170,
CAFTA-DR,109,7-28,7-28,2005,H.R. 3045,443,209,FTA Implementation Act,TRUE,218-215 ,Passed,15-187,203-27,Democrat,0.074,0.074,0.883,55-45 ,Passed,11-33,43-12,Democrat,0.25,0.25,0.78,https://www.congress.gov/bill/109th-congress/house-bill/3045?q=%7B%22search%22%3A%22H.R.+3045%22%7D&s=9&r=1,"https://voteview.com/rollcall/RH1090442 , https://voteview.com/rollcall/RS1090209 ",
FTA Bahrain,109,12-7,N/A,2005,H.R. 4340,616,N/A,FTA Implementation Act,TRUE,328-95,Passed,115-81,213-13,Democrat,0.587,0.587,0.942,N/A,Unanimous Consent,,,Democrat,,,,https://www.congress.gov/bill/109th-congress/house-bill/4340?q=%7B%22search%22%3A%22H.R.+4340%22%7D&s=1&r=1,https://voteview.com/rollcall/RH1090614,
FTA Oman,109,N/A,6-29,2006,S. 3569,N/A,190,FTA Implementation Act,TRUE,N/A,N/A,,,Democrat,,,,60-34 ,Passed,11-29,48-5,Democrat,0.275,0.27,0.9,https://www.congress.gov/bill/109th-congress/senate-bill/3569?q=%7B%22search%22%3A%22S.+3569%22%7D&s=4&r=1,https://voteview.com/rollcall/RS1090556,
FTA Oman,109,7-20,9-19,2006,H.R. 5684,392,250,FTA Implementation Act,TRUE,222-205,Passed,22-176,200-28,Democrat,0.111,0.111,0.877,63-32,Passed,12-27,50-5,Democrat,0.3076923077,0.3,0.9,https://www.congress.gov/bill/109th-congress/house-bill/5684?q=%7B%22search%22%3A%22H.R.+5684%22%7D&s=7&r=1,"https://voteview.com/rollcall/RH1091060 , https://voteview.com/rollcall/RS1090616 ",
Proposed Withdrawal from WTO,109,6-9,N/A,2006,H.J. Res. 27,239,,Withdrawing the approval of the United States from the Agreement establishing the WTO.,FALSE,86-338 ,Failed,46-153,39-185,Democrat,0.769,0.769,0.826,N/A,N/A,,,Democrat,,,,https://www.congress.gov/bill/109th-congress/house-joint-resolution/27?q=%7B%22search%22%3A%22H.J.+Res.+27%22%7D&s=9&r=1,https://voteview.com/rollcall/RH1090238 ,
